,A,B,support,confidence,lift
2163, initial,Subendo infarct,0.010270517934422695,1.0,97.36607310215557
1620, organism NOS,Pneumonia,0.020379325745791686,1.0,49.06933686000378
1031,Pneumonia, organism NOS,0.020379325745791686,0.5444927262422067,26.71789700180066
2078,Need prphyl vc vrl hepat,NB obsrv suspct infect,0.010865380172798818,0.4875020969635967,44.86746797724067
692,Subendo infarct, initial,0.010270517934422695,0.42774133083411436,41.64749368680769
1440,NB obsrv suspct infect,Need prphyl vc vrl hepat,0.011475643375275292,0.39475549255846915,34.39942142233043
595,Pure hypercholesterolem,Hypertension NOS,0.07108700004620289,0.2232014560781684,3.139835074389114
1139,Chronic kidney dis NOS,Hy kid NOS w cr kid I-IV,0.014615514931234695,0.18514119820533123,12.6674427193576
295,Hyperlipidemia NEC/NOS,Hypertension NOS,0.07108700004620289,0.18299881936245574,2.574293742083868
1206,Status-post ptca,Crnry athrscl natve vssl,0.04517295282684696,0.1571331290432414,3.478478142563548
468,Septic shock,Septicemia NOS,0.015135297469621597,0.12243816254416962,8.089577544803335
2106,Old myocardial infarct,Crnry athrscl natve vssl,0.04517295282684696,0.09688535453943009,2.1447646982654116
483,Septic shock,Severe sepsis,0.01669657020529485,0.09222614840989399,5.5236582888530625
2297,Long-term use anticoagul,Atrial fibrillation,0.04868822288275246,0.08897506925207756,1.8274454063838197
145,DMII wo cmp nt st uncntr,Hypertension NOS,0.07108700004620289,0.0866876545986058,1.21945861468712
1764,Food/vomit pneumonitis,Acute respiratry failure,0.030865457177619317,0.0864677307425399,2.8014401421287887
1445,NB obsrv suspct infect,Hypertension NOS,0.07108700004620289,0.08575478384124734,1.2063356701719181
1719,Severe sepsis,Septicemia NOS,0.015135297469621597,0.08393866020984665,5.5458877090669585
45,Tobacco use disorder,Hypertension NOS,0.07108700004620289,0.08184547321851793,1.1513423434006582
179,Acidosis,Acute kidney failure NOS,0.04121875529408141,0.08047945205479452,1.9524959325094067
245,Esophageal reflux,Hypertension NOS,0.07108700004620289,0.07822761059392365,1.1004488942152537
2437,Atrial fibrillation,CHF NOS,0.061386317783493245,0.0768257482899055,1.2515125693133513
2095,Need prphyl vc vrl hepat,Hypertension NOS,0.07108700004620289,0.07297433316557625,1.0265496239558105
463,Septic shock,Acute respiratry failure,0.030865457177619317,0.0726148409893993,2.352624831426526
786,Mitral valve disorder,CHF NOS,0.061386317783493245,0.07221609702315325,1.1764200823684545
2396,Hypothyroidism NOS,Hypertension NOS,0.07108700004620289,0.0721338453099287,1.0147262546322875
1587,Hyp kid NOS w cr kid V,End stage renal disease,0.019004789699835208,0.07187827911857293,3.782113890962771
902,Long-term use of insulin,DMII wo cmp nt st uncntr,0.03424404367713419,0.07092575375215832,2.071185121151964
79,Hyposmolality,Acute kidney failure NOS,0.04121875529408141,0.06988483988010727,1.695462159919759
1095,Asthma NOS,Hypertension NOS,0.07108700004620289,0.06590315451074945,0.9270774469019061
2487,Chr airway obstruct NEC,CHF NOS,0.061386317783493245,0.062082710513203784,1.0113444290984628
1805,History of tobacco use,Hyperlipidemia NEC/NOS,0.03261154148249681,0.061398627341866074,1.8827269288947843
2306,Hypertension NOS,Crnry athrscl natve vssl,0.04517295282684696,0.06055353951145534,1.3404822072084575
1014,Pneumonia,Acute respiratry failure,0.030865457177619317,0.059323634989608916,1.922007331633654
1845,History of tobacco use,Hypertension NOS,0.07108700004620289,0.05843071786310518,0.8219606654539962
2302,Hypertension NOS,DMII wo cmp nt st uncntr,0.03424404367713419,0.05619346801711531,1.6409705742385041
1241,Status-post ptca,Old myocardial infarct,0.014525034267145123,0.055669050051072526,3.832627794689135
756,Mitral valve disorder,Crnry athrscl natve vssl,0.04517295282684696,0.05365674384417494,1.1878068730606854
797,Mitral valve disorder,Atrial fibrillation,0.04868822288275246,0.05365674384417494,1.102047695874777
1379,Urin tract infection NOS,Acute kidney failure NOS,0.04121875529408141,0.05348948702143689,1.2976977747097918
1195,Anemia NOS,Hypertension NOS,0.07108700004620289,0.05327062847370671,0.7493722964688839
2037,Hy kid NOS w cr kid I-IV,CHF NOS,0.061386317783493245,0.052423603793466805,0.8539949240539638
695,Subendo infarct,Hypertension NOS,0.07108700004620289,0.0521087160262418,0.7330273607322552
1286,Prim cardiomyopathy NEC,CHF NOS,0.061386317783493245,0.05141594697730468,0.8375799173790874
2347,Hypertension NOS,Atrial fibrillation,0.04868822288275246,0.050939717272382605,1.046243100617002
2546,Depressive disorder NEC,Hypertension NOS,0.07108700004620289,0.050055493895671474,0.7041441313199035
204,Esophageal reflux,Hyperlipidemia NEC/NOS,0.03261154148249681,0.050010824853864475,1.5335314609616406
2406,Atrial fibrillation,Crnry athrscl natve vssl,0.04517295282684696,0.04989917361907398,1.1046250133424564
379,Ac posthemorrhag anemia,Acute kidney failure NOS,0.04121875529408141,0.04973913043478261,1.2067111216704947
1980,Pleural effusion NOS,Acute kidney failure NOS,0.04121875529408141,0.04879448909299656,1.1837933665115536
336,Crnry athrscl natve vssl,CHF NOS,0.061386317783493245,0.0481994459833795,0.7851822315418358
345,Crnry athrscl natve vssl,Hypertension NOS,0.07108700004620289,0.04807159599403367,0.6762361045309214
886,Chr pulmon heart dis NEC,CHF NOS,0.061386317783493245,0.04728888888888889,0.7703490060386852
163,Acidosis,Acute respiratry failure,0.030865457177619317,0.04613215149073328,1.494620709010068
545,Aortocoronary bypass,Hypertension NOS,0.07108700004620289,0.04608611913605723,0.6483058661373194
2258,Long-term use anticoagul,Hx-ven thrombosis/embols,0.009910520398576952,0.04565096952908587,4.606314067588305
2145,Old myocardial infarct,Hypertension NOS,0.07108700004620289,0.04559310801855534,0.6413705457949016
2022,Hy kid NOS w cr kid I-IV,Chronic kidney dis NOS,0.014588563244059077,0.04517913593256059,3.0968872792157214
556,Pure hypercholesterolem,Crnry athrscl natve vssl,0.04517295282684696,0.04502346968100393,0.9966908706097647
105,DMII wo cmp nt st uncntr,Crnry athrscl natve vssl,0.04517295282684696,0.04480548684506409,0.9918653539609993
552,Pure hypercholesterolem,DMII wo cmp nt st uncntr,0.03424404367713419,0.04473608583197624,1.3063902807088146
147,DMII wo cmp nt st uncntr,Atrial fibrillation,0.04868822288275246,0.0442433100966944,0.9087066127518768
4,Tobacco use disorder,Hyperlipidemia NEC/NOS,0.03261154148249681,0.04408279349028282,1.351754363219624
2498,Chr airway obstruct NEC,Atrial fibrillation,0.04868822288275246,0.04285002491280518,0.8800901404019938
1514,Acute kidney failure NOS,Acute respiratry failure,0.030865457177619317,0.042781747699780485,1.3860720563310407
1964,Pleural effusion NOS,Acute respiratry failure,0.030865457177619317,0.042671259089169536,1.3824923714433317
76,Hyposmolality,Urin tract infection NOS,0.02810868460365619,0.04243571541252564,1.5097012190675718
995,Septicemia NOS,Hypertension NOS,0.07108700004620289,0.041974052403968454,0.5904603144975521
645,Obstructive sleep apnea,Hypertension NOS,0.07108700004620289,0.0415573053368329,0.5845978211181059
1931,End stage renal disease,Hyp kid NOS w cr kid V,0.018346398484545133,0.040721231766612645,2.2195763272511444
1730,Severe sepsis,Acute kidney failure NOS,0.04121875529408141,0.04070102617318114,0.9874394770728409
1709,Severe sepsis,Septic shock,0.010896182100999522,0.04070102617318114,3.7353474635347346
1804,History of tobacco use,Esophageal reflux,0.02667639494232339,0.040437766648117233,1.515863246722321
1982,Pleural effusion NOS, organism NOS,0.020379325745791686,0.03865288939915806,1.8966716505397558
1811,History of tobacco use,Pure hypercholesterolem,0.020096333030447704,0.038397328881469114,1.9106634440867296
1279,Prim cardiomyopathy NEC,Acute kidney failure NOS,0.04121875529408141,0.038160273147218315,0.9257987747315053
1897,CHF NOS,Atrial fibrillation,0.04868822288275246,0.03769561263210713,0.7742244510111417
252,Hyperlipidemia NEC/NOS,DMII wo cmp nt st uncntr,0.03424404367713419,0.03736717827626918,1.0912022723887718
2355,Hypothyroidism NOS,Hyperlipidemia NEC/NOS,0.03261154148249681,0.03730115194733955,1.1438021710000965
1136,Chronic kidney dis NOS,CHF NOS,0.061386317783493245,0.03721298495645289,0.6062097597660344
1210,Status-post ptca,Aortocoronary bypass,0.013993701005682957,0.03643173306094655,2.603438007297092
1411,NB obsrv suspct infect,Pure hypercholesterolem,0.020096333030447704,0.03614457831325301,1.7985658507196716
2047,Hy kid NOS w cr kid I-IV,Atrial fibrillation,0.04868822288275246,0.035695468914647,0.7331438035971514
2505,Depressive disorder NEC,Hyperlipidemia NEC/NOS,0.03261154148249681,0.03496115427302997,1.0720485044165802
1703,Severe sepsis,Acidosis,0.01911259644853768,0.034820707944194625,1.8218721897860606
795,Mitral valve disorder,Hypertension NOS,0.07108700004620289,0.034729878721058434,0.4885545697312561
836,Thrombocytopenia NOS,CHF NOS,0.061386317783493245,0.03440094899169632,0.5604009204954581
347,Crnry athrscl natve vssl,Atrial fibrillation,0.04868822288275246,0.034178563818453016,0.7019883206819731
690,Subendo infarct,Need prphyl vc vrl hepat,0.011475643375275292,0.033739456419868794,2.940092796240229
1479,Hyperpotassemia,Acute kidney failure NOS,0.04121875529408141,0.03272727272727273,0.7939898353013108
2504,Depressive disorder NEC,Esophageal reflux,0.02667639494232339,0.03263041065482797,1.223194165680095
10,Tobacco use disorder,Pure hypercholesterolem,0.020096333030447704,0.03254858587454574,1.6196281095278318
255,Hyperlipidemia NEC/NOS,Crnry athrscl natve vssl,0.04517295282684696,0.03252656434474616,0.7200451223417731
136,DMII wo cmp nt st uncntr,CHF NOS,0.061386317783493245,0.032493816055767934,0.5293332004433324
52,Hyposmolality,Acidosis,0.01911259644853768,0.03202397854551191,1.675543070861107
847,Thrombocytopenia NOS,Atrial fibrillation,0.04868822288275246,0.031880189798339266,0.6547823664690101
2124,Old myocardial infarct,Status-post ptca,0.011308157890683956,0.03154406891981445,2.789496682373132
2446,Atrial fibrillation,Hypertension NOS,0.07108700004620289,0.03143410699458305,0.4421920600693868
2105,Old myocardial infarct,Hyperlipidemia NEC/NOS,0.03261154148249681,0.03141153081510934,0.9632028842294519
897,Chr pulmon heart dis NEC,Atrial fibrillation,0.04868822288275246,0.03128888888888889,0.6426377270790224
176,Acidosis,Urin tract infection NOS,0.02810868460365619,0.031224818694601128,1.110860189115346
1054,Asthma NOS,Esophageal reflux,0.02667639494232339,0.031143258991360258,1.1674463156920043
3,Tobacco use disorder,Esophageal reflux,0.02667639494232339,0.030968557434033813,1.1608973964057152
1147,Chronic kidney dis NOS,Atrial fibrillation,0.04868822288275246,0.030746898917920297,0.6315058775499531
731,Acute respiratry failure, organism NOS,0.020379325745791686,0.030686708663381777,1.5057764445282769
2295,Long-term use anticoagul,Hypertension NOS,0.07108700004620289,0.030581717451523546,0.4302012664994585
734,Acute respiratry failure,Food/vomit pneumonitis,0.013870493292880134,0.030561965945237947,2.2033798870675865
1795,Food/vomit pneumonitis,Hypertension NOS,0.07108700004620289,0.03039555863983345,0.42758252029313243
445,Hx-ven thrombosis/embols,Hypertension NOS,0.07108700004620289,0.030303030303030304,0.4262808992267911
1197,Anemia NOS,Atrial fibrillation,0.04868822288275246,0.03009833262077811,0.6181850730772982
718,Acute respiratry failure,Septicemia NOS,0.015135297469621597,0.029813509636374975,1.9698000449752873
444,Hx-ven thrombosis/embols,Long-term use anticoagul,0.01737421262571037,0.029526029526029528,1.6994168404694723
1977,Pleural effusion NOS,Urin tract infection NOS,0.02810868460365619,0.029468044393417527,1.0483608467962433
536,Aortocoronary bypass,CHF NOS,0.061386317783493245,0.029302517540239374,0.47734606991069284
1997,Pleural effusion NOS,Atrial fibrillation,0.04868822288275246,0.029276693455797934,0.6013095513118234
1019,Pneumonia,Septicemia NOS,0.015135297469621597,0.029189495560173813,1.9285709857213391
1856,CHF NOS,Crnry athrscl natve vssl,0.04517295282684696,0.029165490638818327,0.6456405617452761
964,Septicemia NOS,Acute respiratry failure,0.030865457177619317,0.02912744848639023,0.9436908165258175
395,Ac posthemorrhag anemia,Hypertension NOS,0.07108700004620289,0.029101449275362318,0.40937793487484175
1364,Urin tract infection NOS,Acute respiratry failure,0.030865457177619317,0.029039106910485585,0.9408286662781711
